名前,名前（カナ）,詳細業種,紹介文,郵便番号,住所,電話番号,公式URL,最寄駅,タウンページ詳細ページ
"鈴木歯科診療室","スズキシカシンリョウシツ","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","「生涯をご自身の歯で」を目標に頑張っています。
盛岡市　歯科","020-0127","岩手県盛岡市前九年２丁目","019-646-7733","http://www.suzukishika.com/","青山駅/","https://itp.ne.jp/info/038096483000000899/"
"仙北坂歯科クリニック","センボクザカシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","平日夕方7時迄・土曜夕方5時迄診療　
本宮郵便局近く","020-0866","岩手県盛岡市本宮２丁目","019-635-1641","http://www.senbokuzaka.com/","仙北町駅/盛岡駅/","https://itp.ne.jp/info/037658083000000899/"
"高橋衛歯科医院","タカハシマモルシカイイン","Z278700__小児歯科/Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/","日曜日・祝日も休まず診療　
夜7時まで診療","020-0136","岩手県盛岡市北天昌寺町","019-645-6969","http://www.mamoru-shika.com/","青山駅/","https://itp.ne.jp/info/035132483000000899/"
"医療法人小川歯科医院","イリョウホウジンオガワシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","◆歯科　◆小児歯科　◆矯正歯科　◆歯科口腔外科","020-0402","岩手県盛岡市黒川９地割","019-696-2227","http://ogawa-dental.or.jp/","","https://itp.ne.jp/info/037377393000000899/"
"ながの脳神経クリニック","ナガノノウシンケイクリニック","Z325800__整形外科/Z296700__神経内科/Z147600__矯正歯科/Z183000__外科/Z241500__歯科/Z278700__小児歯科/Z456900__脳神経外科/Z599100__リハビリテーション科/","頭痛・めまい・認知症等脳に関する事はご相談下さい。","020-0835","岩手県盛岡市津志田１６地割","019-639-0123","http://www.nagano-clinic.jp/","岩手飯岡駅/","https://itp.ne.jp/info/034459283000000899/"
"大浦内科・歯科クリニック","オオウラナイカシカクリニック","Z440400__内科/Z210601__呼吸器内科/Z009900__アレルギー科/Z000053__医院・診療所/Z147600__矯正歯科/Z241500__歯科/Z278100__小児科/Z278700__小児歯科/","禁煙指導　
生活習慣病の予防指導　
各種予防接種","020-0836","岩手県盛岡市津志田西２丁目","019-639-3315","","岩手飯岡駅/","https://itp.ne.jp/info/039093545192050780/"
"サロンド宗‐ＹＡ","サロンドソーヤ","Z084300__貸衣裳/Z138000__着付/Z140900__着物レンタル/Z492900__美容院/Z510225__ブライダル衣裳レンタル/Z522900__ヘアデザイナー/Z562350__メイクアップサービス/","“オゾンパーマ＆カラー”で
髪がツルツル・サラサラに蘇る！","020-0015","岩手県盛岡市本町通２丁目","019-622-9322","http://douga-plus.itp.ne.jp/embed/UyNyh9FFCVp3q","上盛岡駅/盛岡駅/","https://itp.ne.jp/info/033164873000000899/"
"吉田整形外科・リウマチ科クリニック","ヨシダセイケイゲカリウマチカクリニック","Z597300__リウマチ科/Z325800__整形外科/Z599100__リハビリテーション科/","整形外科・リウマチ科・リハビリテーション科","020-0015","岩手県盛岡市本町通１丁目","019-604-3820","","上盛岡駅/","https://itp.ne.jp/info/034112049079141350/"
"手代森歯科クリニック","テシロモリシカクリニック","Z241500__歯科/Z278700__小児歯科/","■歯科・小児歯科　
土曜も14：30まで診療　
駐車場12台あり","020-0401","岩手県盛岡市手代森７地割","019-675-1133","https://www.teshiromori-dental.com/","","https://itp.ne.jp/info/037555093000000899/"
"小笠原眼科クリニック","オガサワラガンカクリニツク","Z120300__眼科/","★三高前バス停徒歩2分（ソフィアコンタクト隣り）
◎駐車場有り","020-0114","岩手県盛岡市高松３丁目","019-662-3223","http://ogasawara-eye-clinic.or.jp/","","https://itp.ne.jp/info/031919883000000899/"
"だいこく歯科医院","ダイコクシカイイン","Z278700__小児歯科/Z241500__歯科/","★歯科・小児歯科　盛岡市のベルフ仙北そば
■歯科予防指導","020-0861","岩手県盛岡市仙北３丁目","019-635-8141","http://www.daikoku-dental.com/","仙北町駅/","https://itp.ne.jp/info/036152183000000899/"
"パール美容院／新田町本店・ブライダルサロン","パールビヨウイン／シンデンマチホンテンブライダルサロン","Z138000__着付/Z492900__美容院/Z510225__ブライダル衣裳レンタル/Z562350__メイクアップサービス/Z084300__貸衣裳/","◆洗練された技術で最高の花嫁に！
挙式当日まで万全なサポート","020-0042","岩手県盛岡市新田町","019-653-5666","http://pearl-hair.com/","盛岡駅/","https://itp.ne.jp/info/038159683000000899/"
"ポラーノ矯正歯科","ポラーノキョウセイシカ","Z147600__矯正歯科/","","020-0063","岩手県盛岡市材木町","019-654-8040","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/032200814177571780/"
"和矯正・デンタルクリニック","ナゴミキョウセイデンタルクリニック","Z147600__矯正歯科/Z241500__歯科/","","020-0148","岩手県盛岡市前潟４丁目","019-645-7530","","","https://itp.ne.jp/info/037995111130531420/"
"なかの矯正歯科","ナカノキョウセイシカ","Z147600__矯正歯科/Z241500__歯科/","","020-0807","岩手県盛岡市加賀野２丁目","019-604-8883","","山岸駅/","https://itp.ne.jp/info/032894773000000899/"
"やすの矯正歯科クリニック","ヤスノキョウセイシカクリニック","Z147600__矯正歯科/Z241500__歯科/","","020-0034","岩手県盛岡市盛岡駅前通","019-622-3877","http://www.yasuno1188.com","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/037100873000000899/"
"三條矯正歯科","サンジヨウキヨウセイシカ","Z147600__矯正歯科/","","020-0015","岩手県盛岡市本町通２丁目","019-654-3775","","上盛岡駅/盛岡駅/","https://itp.ne.jp/info/038123783000000899/"
"菜園矯正歯科クリニック","サイエンキョウセイシカクリニック","Z147600__矯正歯科/","","020-0024","岩手県盛岡市菜園２丁目","0120-053102","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/037054110181820900/"
"なかの矯正歯科","ナカノキョウセイシカ","Z147600__矯正歯科/Z241500__歯科/","","020-0807","岩手県盛岡市加賀野２丁目","019-604-8800","","山岸駅/","https://itp.ne.jp/info/036694773000000899/"
"池田歯科医院","イケダシカイイン","Z147600__矯正歯科/","","020-0066","岩手県盛岡市上田１丁目","0120-418148","","上盛岡駅/盛岡駅/","https://itp.ne.jp/info/032063511125821140/"
"さとう歯科クリニック","サトウシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0834","岩手県盛岡市永井２０地割","019-637-7373","","岩手飯岡駅/","https://itp.ne.jp/info/039180283000000899/"
"ささき歯科医院","ササキシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0831","岩手県盛岡市三本柳３地割","019-637-8211","http://www.sasakidental-office.e-doctor.info/","","https://itp.ne.jp/info/030901283000000899/"
"小田中歯科医院","オダナカシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/","","020-0843","岩手県盛岡市湯沢西３丁目","019-637-7774","","","https://itp.ne.jp/info/031590283000000899/"
"外川歯科医院","ソトカワシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0004","岩手県盛岡市山岸１丁目","019-653-6480","","山岸駅/上盛岡駅/","https://itp.ne.jp/info/031689683000000899/"
"中ノ橋歯科クリニック","ナカノハシシカクリニック","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0871","岩手県盛岡市中ノ橋通１丁目","019-653-5233","","仙北町駅/","https://itp.ne.jp/info/031829683000000899/"
"ヒデデンタルクリニック","ヒデデンタルクリニック","Z147600__矯正歯科/Z241500__歯科/","","020-0866","岩手県盛岡市本宮７丁目","019-631-1418","","","https://itp.ne.jp/info/033523330163060760/"
"池田歯科医院","イケダシカイイン","Z241500__歯科/Z147600__矯正歯科/","","020-0066","岩手県盛岡市上田１丁目","019-654-0633","","上盛岡駅/盛岡駅/","https://itp.ne.jp/info/033821783000000899/"
"木のまち歯科医院","キノマチシカイイン","Z278700__小児歯科/Z147600__矯正歯科/Z241500__歯科/","","020-0063","岩手県盛岡市材木町","019-626-4618","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/034744755174720720/"
"まえひがし歯科医院","マエヒガシシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0025","岩手県盛岡市大沢川原３丁目","019-623-4400","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/035067873000000899/"
"守口歯科クリニック","モリグチシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0103","岩手県盛岡市西松園３丁目","019-663-1717","http://www.moriguchi-1717.com/","","https://itp.ne.jp/info/035774983000000899/"
"安藤歯科医院","アンドウシカイイン","Z241500__歯科/Z415200__デンタルドック/Z147600__矯正歯科/","","020-0034","岩手県盛岡市盛岡駅前通","019-626-5525","http://www.and-o.com/","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/036143626185741990/"
"松田歯科医院","マツダシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0871","岩手県盛岡市中ノ橋通１丁目","019-624-8848","http://matsuda-shikaiin.net/index.php","上盛岡駅/仙北町駅/","https://itp.ne.jp/info/036356973000000899/"
"中ノ橋歯科クリニック","ナカノハシシカクリニック","Z241500__歯科/Z278700__小児歯科/Z147600__矯正歯科/","","020-0871","岩手県盛岡市中ノ橋通１丁目","0120-505233","","仙北町駅/","https://itp.ne.jp/info/030651914186840110/"
"まゆみ歯科・小児歯科医院","マユミシカショウニシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0881","岩手県盛岡市天神町","0120-053418","","","https://itp.ne.jp/info/032679583000000899/"
"ゆう歯科医院","ユウシカイイン","Z147600__矯正歯科/Z241500__歯科/","","020-0834","岩手県盛岡市永井１７地割","019-681-6045","","岩手飯岡駅/","https://itp.ne.jp/info/030020401169180110/"
"高山歯科医院","タカヤマシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0822","岩手県盛岡市茶畑１丁目","019-651-8241","","仙北町駅/","https://itp.ne.jp/info/030090683000000899/"
"渋民歯科クリニック","シブタミシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","028-4132","岩手県盛岡市渋民字泉田","019-683-1800","","上盛岡駅/","https://itp.ne.jp/info/030103193000000899/"
"白石歯科クリニック","シライシシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0853","岩手県盛岡市下飯岡１１地割","019-638-0666","","","https://itp.ne.jp/info/030322283000000899/"
"ながの歯科クリニック","ナガノシカクリニック","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0835","岩手県盛岡市津志田１４地割","019-639-0124","","岩手飯岡駅/","https://itp.ne.jp/info/030559283000000899/"
"内田歯科クリニック","ウチダシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0022","岩手県盛岡市大通３丁目","019-622-0888","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/030827773000000899/"
"大浦内科・歯科クリニック","オオウラナイカシカクリニック","Z241500__歯科/Z147600__矯正歯科/","","020-0836","岩手県盛岡市津志田西２丁目","019-639-3317","","岩手飯岡駅/","https://itp.ne.jp/info/030895645192051570/"
"和田歯科","ワダシカ","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0884","岩手県盛岡市神明町","019-652-5011","","上盛岡駅/","https://itp.ne.jp/info/030915683000000899/"
"攝待歯科医院","セツタイシカイイン","Z278700__小児歯科/Z147600__矯正歯科/Z241500__歯科/","","020-0106","岩手県盛岡市東松園３丁目","019-663-0110","","","https://itp.ne.jp/info/031173983000000899/"
"小笠原歯科クリニック","オガサワラシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0866","岩手県盛岡市本宮３丁目","019-635-3500","","盛岡駅/仙北町駅/","https://itp.ne.jp/info/031789083000000899/"
"野手歯科医院","ノテシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0122","岩手県盛岡市みたけ６丁目","019-641-0086","","厨川駅/","https://itp.ne.jp/info/033001383000000899/"
"はしば歯科医院","ハシバシカイイン","Z147600__矯正歯科/Z241500__歯科/","","020-0004","岩手県盛岡市山岸４丁目","019-662-7171","","山岸駅/","https://itp.ne.jp/info/033981983000000899/"
"ふじむら歯科医院","フジムラシカイイン","Z241500__歯科/Z147600__矯正歯科/Z278700__小児歯科/","","020-0878","岩手県盛岡市肴町","019-625-2418","","仙北町駅/上盛岡駅/","https://itp.ne.jp/info/034287973000000899/"
"千葉歯科","チバシカ","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/","","020-0033","岩手県盛岡市盛岡駅前北通","019-653-3321","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/035148683000000899/"
"黒石野歯科医院","クロイシノシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0111","岩手県盛岡市黒石野２丁目","019-662-5678","","厨川駅/","https://itp.ne.jp/info/035190983000000899/"
"中野歯科クリニック","ナカノシカクリニック","Z278700__小児歯科/Z147600__矯正歯科/Z241500__歯科/","","020-0816","岩手県盛岡市中野１丁目","019-653-1821","","","https://itp.ne.jp/info/035510638062530180/"
"りょうわ歯科医院","リヨウワシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0063","岩手県盛岡市材木町","019-653-3636","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/036758683000000899/"
"はぎわら歯科クリニック","ハギワラシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0042","岩手県盛岡市新田町","019-626-3363","","盛岡駅/","https://itp.ne.jp/info/038860083000000899/"
"天日歯科医院","テンニチシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0022","岩手県盛岡市大通１丁目","019-652-2820","","上盛岡駅/盛岡駅/","https://itp.ne.jp/info/039773683000000899/"
"岡村歯科医院","オカムラシカイイン","Z241500__歯科/Z243000__歯科口腔外科/Z147600__矯正歯科/","","020-0022","岩手県盛岡市大通２丁目","019-625-8241","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/031539973000000899/"
"さいとう歯科医院","サイトウシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0124","岩手県盛岡市厨川１丁目","019-641-3558","","厨川駅/","https://itp.ne.jp/info/030573383000000899/"
"よしき歯科・ＴＡＫＥＤＡインプラントクリニック","ヨシキシカタケダインプラントクリニック","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0066","岩手県盛岡市上田１丁目","0120-224618","","上盛岡駅/","https://itp.ne.jp/info/520000135605950001/"
"小泉歯科医院","コイズミシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0861","岩手県盛岡市仙北３丁目","019-635-2292","","仙北町駅/","https://itp.ne.jp/info/030809083000000899/"
"よしき歯科・ＴＡＫＥＤＡインプラントクリニック","ヨシキシカタケダインプラントクリニック","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0066","岩手県盛岡市上田１丁目","019-606-4618","","上盛岡駅/","https://itp.ne.jp/info/031750100109140180/"
"赤ちゃんこども歯科","アカチャンコドモシカ","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0066","岩手県盛岡市上田２丁目","019-654-5545","https://www.akakodomo.com/","上盛岡駅/","https://itp.ne.jp/info/034714783000000899/"
"みやの歯科医院","ミヤノシカイイン","Z243000__歯科口腔外科/Z278700__小児歯科/Z147600__矯正歯科/Z241500__歯科/","","020-0141","岩手県盛岡市中屋敷町","019-643-5773","","","https://itp.ne.jp/info/035738383000000899/"
"高橋歯科医院","タカハシシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/","","020-0022","岩手県盛岡市大通１丁目","019-651-0202","","上盛岡駅/盛岡駅/","https://itp.ne.jp/info/038925583000000899/"
"松舘歯科医院","マツダテシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0051","岩手県盛岡市下太田沢田","019-659-2566","","","https://itp.ne.jp/info/039729783000000899/"
"ただしデンタルオフィス","タダシデンタルオフィス","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0122","岩手県盛岡市みたけ２丁目","019-681-0180","http://www.tadashi-dental-office.jp/","厨川駅/","https://itp.ne.jp/info/520000091686120001/"
"国分通り歯科","コクブンドオリシカ","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0121","岩手県盛岡市月が丘３丁目","019-648-8080","","","https://itp.ne.jp/info/520000160808540001/"
"高橋衛歯科医院","タカハシマモルシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0136","岩手県盛岡市北天昌寺町","0120-981418","","青山駅/","https://itp.ne.jp/info/032685300142160640/"
"前田歯科医院","マエダシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0133","岩手県盛岡市青山４丁目","0120-364874","","青山駅/","https://itp.ne.jp/info/036460483000000899/"
"前田歯科医院","マエダシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0133","岩手県盛岡市青山４丁目","019-645-2135","","青山駅/","https://itp.ne.jp/info/031114634114130350/"
"まつうら歯科クリニック","マツウラシカクリニック","Z243000__歯科口腔外科/Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0133","岩手県盛岡市青山３丁目","019-681-3719","","青山駅/","https://itp.ne.jp/info/031465506114951820/"
"松嶋歯科医院","マツシマシカイイン","Z243000__歯科口腔外科/Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","020-0866","岩手県盛岡市本宮１丁目","019-634-0488","","仙北町駅/盛岡駅/","https://itp.ne.jp/info/033241954115281210/"
"細川歯科医院","ホソカワシカイイン","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0011","岩手県盛岡市三ツ割２丁目","019-665-0118","","上盛岡駅/山岸駅/","https://itp.ne.jp/info/038407983000000899/"
"盛岡友愛病院","モリオカユウアイビョウイン","Z597300__リウマチ科/Z307200__心療内科/Z009900__アレルギー科/Z000051__総合病院/Z120300__眼科/Z147600__矯正歯科/Z183000__外科/Z207905__肛門外科/Z210601__呼吸器内科/Z241500__歯科/Z258000__耳鼻咽喉科/Z273005__循環器内科/Z273905__消化器内科/Z278100__小児科/Z278700__小児歯科/Z296700__神経内科/Z300300__心臓血管外科/Z325800__整形外科/Z440400__内科/Z456900__脳神経外科/Z490500__泌尿器科/Z491400__皮膚科/Z504900__婦人科/Z535200__放射線科/Z599100__リハビリテーション科/Z450300__人間ドック/","","020-0834","岩手県盛岡市永井１２地割","019-638-2222","","岩手飯岡駅/","https://itp.ne.jp/info/034953283000000899/"
"共生機構株式会社盛岡営業所","キョウセイキコウカブシキガイシャモリオカエイギョウショ","Z435900__土木設計/Z435000__土木建築材料/","","020-0024","岩手県盛岡市菜園１丁目","019-601-6350","","盛岡駅/上盛岡駅/","https://itp.ne.jp/info/036795526130760080/"
"まつうら歯科クリニック","マツウラシカクリニック","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0133","岩手県盛岡市青山３丁目","019-681-3720","","青山駅/","https://itp.ne.jp/info/035290706114951820/"
"よしき歯科・ＴＡＫＥＤＡインプラントクリニック","ヨシキシカタケダインプラントクリニック","Z147600__矯正歯科/Z241500__歯科/Z243000__歯科口腔外科/Z278700__小児歯科/","","020-0066","岩手県盛岡市上田１丁目","019-606-4619","","上盛岡駅/","https://itp.ne.jp/info/037035100109140180/"
"さいとう歯科矯正クリニック","サイトウシカキョウセイクリニック","Z147600__矯正歯科/Z241500__歯科/","歯学博士、DDS、PｈD、ENGLISH　AVAILABLE","027-0054","岩手県宮古市太田１丁目","0193-62-3196","https://ja-jp.facebook.com/saitoshikakyousei/","山口団地駅/","https://itp.ne.jp/info/037646804000000899/"
"久保歯科医院","クボシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","027-0006","岩手県宮古市鍬ヶ崎上町","0193-63-0648","","","https://itp.ne.jp/info/030254904000000899/"
"佐原歯科医院","サバラシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","027-0095","岩手県宮古市佐原３丁目","0193-64-6688","","","https://itp.ne.jp/info/033044014000000899/"
"宮古市役所／男女共生推進センター","ミヤコシヤクショ／ダンジョキョウセイスイシンセンター","Z244500__市区町村機関/Z261660__市役所/","","027-0066","岩手県宮古市田の神２丁目","0193-62-2352","","山口団地駅/宮古駅/","https://itp.ne.jp/info/030525804000000899/"
"久保歯科医院","クボシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","027-0006","岩手県宮古市鍬ヶ崎上町","0193-64-4866","","","https://itp.ne.jp/info/034673014000000899/"
"佐原歯科医院","サバラシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","027-0095","岩手県宮古市佐原３丁目","0193-64-2304","","","https://itp.ne.jp/info/039082014000000899/"
"渡辺歯科クリニック","ワタナベシカクリニツク","Z147600__矯正歯科/Z241500__歯科/","","022-0004","岩手県大船渡市猪川町字前田","0192-26-5100","","盛駅/","https://itp.ne.jp/info/037627104000000899/"
"いいだ歯科クリニック","イイダシカクリニック","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","022-0002","岩手県大船渡市大船渡町字富沢","0192-26-0082","","盛駅/","https://itp.ne.jp/info/031631036159960700/"
"共生型事業所とまり","キョウセイガタジギョウショトマリ","Z273375__障がい者福祉施設/Z502500__福祉施設/Z616200__老人福祉施設/","","022-0101","岩手県大船渡市三陸町越喜来字井戸洞","0192-43-1131","","三陸駅/","https://itp.ne.jp/info/036250004144870290/"
"及川歯科クリニック","オイカワシカクリニツク","Z147600__矯正歯科/Z241500__歯科/","歯科・矯正歯科　
歯の健康相談は当院へ！
鳥谷崎神社通り","025-0077","岩手県花巻市仲町","0198-22-5522","","花巻駅/","https://itp.ne.jp/info/031065334000000899/"
"金子歯科医院","カネコシカイイン","Z147600__矯正歯科/Z241500__歯科/","","025-0087","岩手県花巻市上町","0198-23-3518","","花巻駅/","https://itp.ne.jp/info/035109334000000899/"
"鎌田歯科医院","カマダシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","025-0315","岩手県花巻市二枚橋町南１丁目","0198-26-2113","","花巻空港駅/","https://itp.ne.jp/info/034583534000000899/"
"にしお歯科クリニック","ニシオシカクリニツク","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","028-3203","岩手県花巻市大迫町大迫第３地割","0198-48-3088","","","https://itp.ne.jp/info/039475734000000899/"
"畠山歯科医院","ハタケヤマシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","025-0091","岩手県花巻市西大通り１丁目","0198-23-4645","","花巻駅/","https://itp.ne.jp/info/031440434000000899/"
"八重樫歯科医院","ヤエガシシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","025-0088","岩手県花巻市東町","0198-24-1088","","花巻駅/","https://itp.ne.jp/info/038274434000000899/"
"たむら歯科医院","タムラシカイイン","Z147600__矯正歯科/Z241500__歯科/","","025-0021","岩手県花巻市南城","0198-23-6788","","","https://itp.ne.jp/info/038782434000000899/"
"管野歯科医院","カンノシカイイン","Z147600__矯正歯科/Z241500__歯科/","","025-0079","岩手県花巻市末広町","0198-23-5019","","花巻駅/","https://itp.ne.jp/info/039284439083750510/"
"八重樫歯科医院","ヤエガシシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","025-0088","岩手県花巻市東町","0198-24-8704","","花巻駅/","https://itp.ne.jp/info/036102534000000899/"
"狩野歯科医院","カノウシカイイン","Z147600__矯正歯科/Z241500__歯科/Z278700__小児歯科/","","025-0042","岩手県花巻市円万寺字法船","0198-28-4100","","","https://itp.ne.jp/info/039170634000000899/"
